,depth(m),plc002
0,0,2.4570017
1,20,2.9980047
2,40,3.185965
3,60,3.2631488
4,90,3.308454
5,120,3.1275072
6,150,2.6865308
7,190,2.2940154
8,240,2.1641493
9,300,2.2162323
10,360,2.49945
11,430,2.9586365
12,520,3.371322
13,620,3.7785082
14,720,4.277847
15,820,4.6183434
16,920,4.7788386
17,1020,4.896963
18,1220,4.8912334
19,1420,4.8629813
20,1620,4.9446754
21,1920,4.9664135
22,2220,4.886162
23,2620,4.894031
24,3020,4.916163
25,3520,4.920875
26,4120,4.877306
27,4820,4.769786
28,5620,4.6601033
29,6520,4.4750814
30,7520,4.413935
31,8520,4.369211
32,9520,4.3203
33,10520,4.1930943
34,11520,4.1414313
35,13520,4.11433
36,15520,4.0462418
37,17520,4.079024
38,20520,4.09987
39,23520,4.0569234
40,27520,4.0840173
41,31520,3.9843106
42,36520,3.9882135
43,42520,3.980588
44,49520,3.9406016
45,89520,3.8535366
46,119520,3.662601
47,139520,3.2996304
48,159520,2.8666868
49,169520,2.1211889
